Rank,Model,Accuracy,Server Latency/Sample (s),Wall Latency/Sample (s),Cost/Sample ($)
61,planner=Claude Haiku 4.5 + solver=gpt-oss-20b,41.49%,3.03,1043.55,0.0023
62,planner=Claude Haiku 4.5 + solver=gpt-oss-120b,41.20%,3.14,1045.50,0.0024
63,planner=Claude Haiku 4.5 + solver=Qwen3 Next 80B A3B,41.17%,2.95,1051.62,0.0023
64,planner=Claude Haiku 4.5 + solver=Ministral 3 8B,41.09%,3.75,1049.09,0.0023
65,planner=Claude Haiku 4.5 + solver=Kimi K2.5,41.00%,6.16,1052.39,0.0027
66,planner=Kimi K2.5 + solver=Claude Haiku 4.5,37.19%,4.23,1092.94,0.0044
67,planner=Claude Haiku 4.5 + solver=Qwen3 32B,36.13%,2.89,1050.56,0.0023
68,planner=Claude Haiku 4.5 + solver=Claude 3 Haiku,34.34%,2.63,1038.07,0.0024
69,planner=Ministral 3 8B + solver=Claude Haiku 4.5,32.42%,4.14,1110.11,0.0035
70,planner=Qwen3 Next 80B A3B + solver=Claude Haiku 4.5,32.19%,3.92,1135.68,0.0036
71,planner=Claude Opus 4.6 + solver=Kimi K2.5,31.96%,4.72,1063.00,0.0101
72,planner=Claude Opus 4.6 + solver=Ministral 3 8B,31.96%,4.72,1064.89,0.0101
73,planner=Claude Opus 4.6 + solver=Qwen3 32B,31.96%,4.72,1066.81,0.0101
74,planner=Claude Opus 4.6 + solver=Qwen3 Next 80B A3B,31.96%,4.72,1068.36,0.0101
75,planner=Claude Opus 4.6 + solver=gpt-oss-120b,31.95%,4.60,1060.75,0.0101
76,planner=Claude Opus 4.6 + solver=gpt-oss-20b,31.88%,4.57,1058.51,0.0101
77,planner=Claude Opus 4.6 + solver=Claude 3 Haiku,31.78%,4.22,1052.62,0.0101
78,planner=Claude Opus 4.6 + solver=Claude Haiku 4.5,31.77%,4.16,1053.85,0.0102
79,planner=Claude Opus 4.6 + solver=Claude Opus 4.6,31.71%,4.19,1056.07,0.0101
80,planner=Qwen3 32B + solver=Claude Haiku 4.5,26.63%,3.47,1122.12,0.0035
81,planner=Claude Haiku 4.5 + solver=Claude Haiku 4.5,26.49%,3.40,1040.48,0.0040
