rank,answer_model,critic_model,accuracy,total_cost,cost_per_sample,answer_input_tokens,answer_output_tokens,critic_input_tokens,critic_output_tokens,total_input_tokens,total_output_tokens,note
18,Claude Haiku 4.5,gpt-oss-20b,0.9350,2.93,0.0146,2212362,133975,238163,91563,2450525,225538,
19,gpt-oss-20b,Kimi K2.5,0.9344,0.23,0.0012,185263,167027,102989,34038,288252,201065,
20,gpt-oss-20b,Claude Haiku 4.5,0.9297,0.36,0.0020,163444,163195,83690,43381,247134,206576,
21,Claude 3 Haiku,Claude Opus 4.6,0.9294,2.04,0.0120,628270,49525,168104,39357,796374,88882,
22,Claude Haiku 4.5,gpt-oss-120b,0.9250,2.35,0.0118,1608147,132248,222262,83494,1830409,215742,
23,gpt-oss-20b,Qwen3 Next 80B A3B,0.9243,0.15,0.0008,232575,196833,139625,43000,372200,239833,
24,gpt-oss-20b,Claude Opus 4.6,0.9235,0.99,0.0054,145348,143425,77970,21822,223318,165247,
25,gpt-oss-20b,gpt-oss-20b,0.9194,0.09,0.0005,,,,,214597,241870,same_model (tokens unsplittable)
26,Claude Haiku 4.5,Claude 3 Haiku,0.9150,2.95,0.0147,2195259,135164,241528,13057,2436787,148221,
27,gpt-oss-20b,Qwen3 32B,0.9121,0.08,0.0004,159392,158118,80807,13360,240199,171478,
28,gpt-oss-20b,Claude 3 Haiku,0.9076,0.16,0.0009,247256,246047,135018,29894,382274,275941,
29,Ministral 3 8B,gpt-oss-120b,0.9059,0.07,0.0004,29951,106876,141568,41422,171519,148298,
30,gpt-oss-20b,Ministral 3 8B,0.9043,0.13,0.0007,280226,260263,156364,61229,436590,321492,
31,Ministral 3 8B,Qwen3 Next 80B A3B,0.9020,0.03,0.0002,26935,78825,111161,459,138096,79284,
32,Ministral 3 8B,Claude Opus 4.6,0.8953,0.87,0.0051,30353,110383,153735,3369,184088,113752,
33,Ministral 3 8B,Claude Haiku 4.5,0.8889,0.30,0.0018,30140,105752,148125,26601,178265,132353,
34,Ministral 3 8B,Kimi K2.5,0.8882,0.09,0.0006,28437,85666,109987,3107,138424,88773,
35,Ministral 3 8B,gpt-oss-20b,0.8876,0.04,0.0002,29839,101502,136852,36257,166691,137759,
36,Qwen3 32B,Qwen3 Next 80B A3B,0.8872,0.21,0.0011,478671,99666,254613,36544,733284,136210,
37,Ministral 3 8B,Ministral 3 8B,0.8819,0.03,0.0002,,,,,119542,67128,same_model (tokens unsplittable)
38,Claude 3 Haiku,Claude Haiku 4.5,0.8721,0.69,0.0040,666593,52741,172815,57076,839408,109817,
39,Ministral 3 8B,Qwen3 32B,0.8698,0.04,0.0003,29804,106934,143330,507,173134,107441,
40,Qwen3 32B,Ministral 3 8B,0.8673,0.35,0.0018,1376659,139837,349778,39437,1726437,179274,
41,Qwen3 32B,gpt-oss-120b,0.8667,0.25,0.0013,611300,110221,234168,99143,845468,209364,
42,Qwen3 32B,Claude Opus 4.6,0.8535,2.01,0.0102,636688,110467,246266,24741,882954,135208,
43,Qwen3 32B,gpt-oss-20b,0.8505,0.19,0.0010,512553,105607,215045,108608,727598,214215,
44,Qwen3 32B,Claude Haiku 4.5,0.8402,0.53,0.0027,451281,99243,208399,39053,659680,138296,
45,Qwen3 32B,Kimi K2.5,0.8274,1.11,0.0056,5004321,148548,302774,30530,5307095,179078,
46,Qwen3 32B,Qwen3 32B,0.8256,0.17,0.0008,,,,,665441,108835,same_model (tokens unsplittable)
47,Qwen3 32B,Claude 3 Haiku,0.8247,0.27,0.0014,588455,117878,304955,26185,893410,144063,
48,Qwen3 Next 80B A3B,Claude 3 Haiku,0.8229,0.42,0.0022,472362,193343,381702,17088,854064,210431,
49,Qwen3 Next 80B A3B,Qwen3 32B,0.8187,0.29,0.0015,341799,162109,276930,3742,618729,165851,
50,Kimi K2.5,gpt-oss-120b,0.8144,0.82,0.0042,515036,137175,301323,86731,816359,223906,
51,Kimi K2.5,gpt-oss-20b,0.8135,0.85,0.0044,562175,151803,316226,109300,878401,261103,
52,Kimi K2.5,Kimi K2.5,0.8125,1.13,0.0059,,,,,913449,195284,same_model (tokens unsplittable)
53,gpt-oss-120b,Qwen3 32B,0.8041,0.15,0.0008,168364,172030,95712,11170,264076,183200,
54,Qwen3 Next 80B A3B,Qwen3 Next 80B A3B,0.8032,0.31,0.0016,,,,,701734,170709,same_model (tokens unsplittable)
55,gpt-oss-120b,Claude Haiku 4.5,0.8031,0.47,0.0024,183545,158027,109893,46759,293438,204786,
56,gpt-oss-120b,Kimi K2.5,0.8010,0.27,0.0014,202140,173553,106666,24307,308806,197860,
57,gpt-oss-120b,Ministral 3 8B,0.8000,0.18,0.0009,228068,198029,131882,25509,359950,223538,
58,Qwen3 Next 80B A3B,gpt-oss-20b,0.7979,0.32,0.0017,396698,180573,331520,74082,728218,254655,
59,gpt-oss-120b,Claude 3 Haiku,0.7969,0.19,0.0010,204753,185446,118260,14300,323013,199746,
60,Kimi K2.5,Ministral 3 8B,0.7949,0.86,0.0044,581645,150863,371180,35553,952825,186416,
61,gpt-oss-120b,Claude Opus 4.6,0.7949,1.17,0.0060,172722,154838,105939,20802,278661,175640,
62,Kimi K2.5,Qwen3 Next 80B A3B,0.7906,0.82,0.0043,580872,125914,330559,38535,911431,164449,
63,gpt-oss-120b,gpt-oss-120b,0.7887,0.20,0.0010,,,,,278591,261278,same_model (tokens unsplittable)
64,Qwen3 Next 80B A3B,Claude Haiku 4.5,0.7865,0.81,0.0042,387525,169324,340165,42083,727690,211407,
65,Qwen3 Next 80B A3B,Ministral 3 8B,0.7865,0.38,0.0020,508447,196255,425495,18678,933942,214933,
66,Claude 3 Haiku,gpt-oss-120b,0.7862,0.36,0.0022,688331,55328,179685,144703,868016,200031,
67,Kimi K2.5,Claude Haiku 4.5,0.7801,1.20,0.0063,510967,128108,304792,40782,815759,168890,
68,Claude 3 Haiku,Ministral 3 8B,0.7764,0.30,0.0019,768104,54338,211560,50959,979664,105297,
69,Qwen3 Next 80B A3B,Claude Opus 4.6,0.7760,2.03,0.0106,366827,168971,311674,8697,678501,177668,
70,Kimi K2.5,Claude Opus 4.6,0.7755,2.55,0.0130,469402,117234,254394,25960,723796,143194,
71,Claude 3 Haiku,Kimi K2.5,0.7748,0.46,0.0030,648263,48124,173528,42947,821791,91071,
72,gpt-oss-120b,gpt-oss-20b,0.7732,0.17,0.0009,175726,172210,104352,112416,280078,284626,
73,Kimi K2.5,Claude 3 Haiku,0.7696,0.92,0.0048,582608,150668,364978,22556,947586,173224,
74,Qwen3 Next 80B A3B,Kimi K2.5,0.7696,0.46,0.0024,362501,157922,288240,15051,650741,172973,
75,Qwen3 Next 80B A3B,gpt-oss-120b,0.7684,0.32,0.0017,328645,165619,295278,54065,623923,219684,
76,gpt-oss-120b,Qwen3 Next 80B A3B,0.7474,0.20,0.0010,228006,155413,151856,39031,379862,194444,
77,Claude 3 Haiku,gpt-oss-20b,0.7296,0.31,0.0019,689093,52138,172879,196054,861972,248192,
78,Kimi K2.5,Qwen3 32B,0.7277,0.67,0.0035,438131,122075,242825,4448,680956,126523,
79,Claude 3 Haiku,Qwen3 Next 80B A3B,0.6894,0.36,0.0023,750949,48693,240682,66778,991631,115471,
80,Claude 3 Haiku,Qwen3 32B,0.6386,0.27,0.0016,675796,51947,169961,18045,845757,69992,
81,Claude 3 Haiku,Claude 3 Haiku,0.5988,0.30,0.0018,,,,,817524,73656,same_model (tokens unsplittable)
